,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mapping - ArchivesSpace Resource record SECTION,Resource Identifying Information,Resource Identifying Information,Resource Identifying Information,Archival Object Context Information,Archival Object Basic Information,Archival Object Basic Information,Archival Object Basic Information,Archival Object Basic Information,Archival Object Basic Information,Archival Object Basic Information,Archival Object Basic Information,Archival Object Basic Information,Language,Language,Language,Language,Language,Language,Language,Language,Language,Language,Language,Language,Language,Language,Language,Language,Dates,Dates,Dates,Dates,Dates,Dates,Dates (2),Dates (2),Dates (2),Dates(2),Dates (2),Dates (2),Dates (3),Dates (3),Dates (3),Dates(3),Dates (3),Dates (3),Dates (4),Dates (4),Dates (4),Dates(4),Dates (4),Dates (4),Dates (5),Dates (5),Dates (5),Dates(5),Dates 53),Dates (5),Extent information,Extent information,Extent information,Extent information,Extent information,Extent information,Extent information,Extent information,Extent information,Extent information,Extent information,Extent information,Container information,Container information,Container information,Container information,Container information,Container information,Container information,Container information,Container information,Container information,Container information,Container information,Container information,Container information,Container information,Container information,Digital Object,Digital Object,Digital Object,Digital Object,Digital Object,Digital Object,Digital Object,Agent Links,Agent Links,Agent Links,Agent Links,Agent Links,Agent Links,Agent Links,Agent Links,Agent Links,Agent Links,Agent Links,Agent Links,Agent Links,Agent Links,Agent Links,Agent Links,Agent Links,Agent Links,Agent Links,Agent Links,Agent Links,Agent Links,Agent Links,Agent Links,Agent Links,Agent Links,Agent Links,Agent Links,Agent Links,Agent Links,Agent Links,Agent Links,Agent Links,Agent Links,Agent Links,Agent Links,Agent Links,Agent Links,Agent Links,Agent Links,Subjects,Subjects,Subjects,Subjects,Subjects,Subjects,Subjects,Subjects,Subjects,Subjects,Subjects,Subjects,Subjects,Subjects,Subjects,Subjects,Subjects,Subjects,Subjects,Subjects,Subjects,Subjects,Subjects,Subjects,Notes,Notes,Notes,Notes,Notes,Notes,Notes,Notes,Notes,Notes,Notes,Notes,Notes,Notes,Notes,Notes,Notes,Notes,Notes,Notes,Notes,Notes,Notes,Notes,Notes,Notes,Notes,Notes,Notes,Notes,Notes,Notes,Notes,Notes,Notes,Notes,Notes,Notes,Notes,Notes,Notes,Notes,Notes,Notes,Notes,Notes,Notes,Notes,Notes,Notes,Notes,Notes,Notes,Notes,
Mapping - ArchivesSpace Resource record FIELD with comments,"The Resource ""Identifier"", aka collection-level unit_id, OR, could be internal resource record number from URL.",EAD ID -- REQUIRED IF NO URI,Resource URI REQUIRED IF NO EAD ID,Ref ID (aka component id attribute),Title,Unit_id,"Hierarchical relationship of new component to context object. 1=the first level of archival objects, 2=second level, 3=third level, etc.  1 would indicate a sibling of the selected Arch. Obj (or the top level Arch. Obj. in a Resource that does not have any); 2 indicates a child, etc.","Level of Description:series,  item, file, etc. (CONTROLLED LIST)",,Publish (true/false) (NOTE: the selected value will apply to all publish elements in records or structures created by this row.),Restrictions Apply (true/false),Respository Processing Note,Language (controlled value list),Language Script (controlled value list),Language of Material Note,Publish Language Note,Language(2) (controlled value list),Language Script(2) (controlled value list),Language of Material Note(2),Publish Language Note(2),Language(3) (controlled value list),Language Script(3) (controlled value list),Language of Material Note(3),Publish Language Note(4),Language(4) (controlled value list),Language Script(4) (controlled value list),Language of Material Note(4),Publish Language Note(4),Dates label (default: Creation),Begin Year,End Year,"Dates Type: bulk, single, inclusive (default inclusive) (CONTROLLED LIST)",Date expression,Date certainty (CONTROLLED LIST; Default: blank),Dates label (default: Creation),Begin Year,End Year,"Dates Type: bulk, single, inclusive (default inclusive) (CONTROLLED LIST)",Date expression,Date certainty (CONTROLLED LIST; Default: blank),Dates label (default: Creation),Begin Year,End Year,"Dates Type: bulk, single, inclusive (default inclusive) (CONTROLLED LIST)",Date expression,Date certainty (CONTROLLED LIST; Default: blank),Dates label (default: Creation),Begin Year,End Year,"Dates Type: bulk, single, inclusive (default inclusive) (CONTROLLED LIST)",Date expression,Date certainty (CONTROLLED LIST; Default: blank),Dates label (default: Creation),Begin Year,End Year,"Dates Type: bulk, single, inclusive (default inclusive) (CONTROLLED LIST)",Date expression,Date certainty (CONTROLLED LIST; Default: blank),"Extent portion Default: ""whole""",Extent number,Extent type,Container Summary,Extent Physical Details,Physical Dimensions,"Extent portion Default: ""whole""",Extent number,Extent type,Container Summary,Extent Physical Details,Physical Dimensions,"instance type: Accession, Audio, Books, etc.","A container type: box, drawer, etc.","The container indicator (e.g., number)",barcode,Child container type,"Child  indicator (e.g., number)",Grandchild Container type," Grandchild indicator (e.g., number)","instance type: Accession, Audio, Books, etc.","A container type: box, drawer, etc.","The container indicator (e.g., number)",barcode,Child container type,"Child  indicator (e.g., number)",Grandchild Container type," Grandchild indicator (e.g., number)",Digital Object Identifier (Leave this blank to get a default system-assigned Digital Object Identifier that is based on the Archival Object Ref ID. Or enter a custom identifier here to override the default. Custom identifier must be unique within ArchivesSpace.  Note that Digital Object Identifiers are not exported in the EAD.) ,Digital Object Title (defaults to Archive_object title),Publish Digital Object (FALSE/TRUE)  (Note that Publish value will be inherited by each File Version in addition to being set on the Digital Object record. Leave this blank to get the default value FALSE.),"Linked-to Digital Object (URL) (onRequest,new)",Publish linked-to digital object?,"Thumbnail (onLoad, embed)",Publish thumbnail?,"Person Agent Record ID (The numeric suffix on the URL of the Agent record, e.g., 9921 for  https://arstaffqa.hul.harvard.edu/agents/agent_person/9921","Person Agent Header String (The bold text that appears immediately above the ""Basic Information"" in an Agent record display.)",Person Agent Role (Default: Creator),Person Agent Relator (see http://www.loc.gov/marc/relators/relaterm.html ),"Person Agent Record ID (The numeric suffix on the URL of the Agent record, e.g., 9921 for  https://arstaffqa.hul.harvard.edu/agents/agent_person/9921","Person Agent Header String (The bold text that appears immediately above the ""Basic Information"" in an Agent record display.)",Person Agent Role (Default: Creator),Person Agent Relator ,"Person Agent Record ID (The numeric suffix on the URL of the Agent record, e.g., 9921 for  https://arstaffqa.hul.harvard.edu/agents/agent_person/9921","Person Agent Header String (The bold text that appears immediately above the ""Basic Information"" in an Agent record display.)",Person Agent Role (Default: Creator),Person Agent Relator,"Person Agent Record ID (The numeric suffix on the URL of the Agent record, e.g., 9921 for  https://arstaffqa.hul.harvard.edu/agents/agent_person/9921","Person Agent Header String (The bold text that appears immediately above the ""Basic Information"" in an Agent record display.)",Person Agent Role (Default: Creator),Person Agent Relator,"Person Agent Record ID (The numeric suffix on the URL of the Agent record, e.g., 9921 for  https://arstaffqa.hul.harvard.edu/agents/agent_person/9921","Person Agent Header String (The bold text that appears immediately above the ""Basic Information"" in an Agent record display.)",Person Agent Role (Default: Creator),Person Agent Relator,Family Agent Record ID,"Family Agent Header String (The bold text that appears immediately above the ""Basic Information"" in an Agent record display.)",Family Agent Role (Default: Creator),Family Agent Relator,Family Agent Record ID,"Family Agent Header String (The bold text that appears immediately above the ""Basic Information"" in an Agent record display.)",Family Agent Role (Default: Creator),Family Agent Relator,Corporate Agent Record ID,"Creator Corporate Agent Header String (The bold text that appears immediately above the ""Basic Information"" in an Agent record display.)",Corporate Agent Role (Default: Creator),Creator CorporateRelator,Corporate Agent Record ID,"Creator Corporate Agent Header String (The bold text that appears immediately above the ""Basic Information"" in an Agent record display.)",Corporate Agent Role (Default: Creator),Creator CorporateRelator,Corporate Agent Record ID,"Creator Corporate Agent Header String (The bold text that appears immediately above the ""Basic Information"" in an Agent record display.)",Corporate Agent Role (Default: Creator),Creator CorporateRelator,"Subject Record ID (The numeric suffix on the URL of the Subject record, e.g., 13597 for  https://arstaffqa.hul.harvard.edu/subjects/13597",Subject Term,Subject Type (Default: 'topical'),"Subject Source (If the subject term is created through this ingest, the source will  default to ""Unspecified ingested source"" unless the supplied Source value exactly matches an existing  controlled Source term.)","Subject Record ID (The numeric suffix on the URL of the Subject record, e.g., 13597 for  https://arstaffqa.hul.harvard.edu/subjects/13597",Subject Term,Subject Type (Default: 'topical'),"Subject Source (If the subject term is created through this ingest, the source will  default to ""Unspecified ingested source"" unless the supplied Source value exactly matches an existing  controlled Source term.)","Subject Record ID (The numeric suffix on the URL of the Subject record, e.g., 13597 for  https://arstaffqa.hul.harvard.edu/subjects/13597",Subject Term,Subject Type (Default: 'topical'),"Subject Source (If the subject term is created through this ingest, the source will  default to ""Unspecified ingested source"" unless the supplied Source value exactly matches an existing  controlled Source term.)","Subject Record ID (The numeric suffix on the URL of the Subject record, e.g., 13597 for  https://arstaffqa.hul.harvard.edu/subjects/13597",Subject Term,Subject Type (Default: 'topical'),"Subject Source (If the subject term is created through this ingest, the source will  default to ""Unspecified ingested source"" unless the supplied Source value exactly matches an existing  controlled Source term.)","Subject Record ID (The numeric suffix on the URL of the Subject record, e.g., 13597 for  https://arstaffqa.hul.harvard.edu/subjects/13597",Subject Term,Subject Type (Default: 'topical'),"Subject Source (If the subject term is created through this ingest, the source will  default to ""Unspecified ingested source"" unless the supplied Source value exactly matches an existing  controlled Source term.)","Subject Record ID (The numeric suffix on the URL of the Subject record, e.g., 13597 for  https://arstaffqa.hul.harvard.edu/subjects/13597",Subject Term,Subject Type (Default: 'topical'),"Subject Source (If the subject term is created through this ingest, the source will  default to ""Unspecified ingested source"" unless the supplied Source value exactly matches an existing  controlled Source term.)",Note with Type=Abstract,Publish (true/false) Abstract,Label Abstract,Note with Type=Conditions Governing Access,Publish (true/false) Access Restrictions,Label Access Restrictions,Restriction Begin,Restriction End,Access Restrictions Type,Note with Type=Immediate Source of Acquisition,Publish (true/false) Immediate Source of Acquisition,Label Acquisition Information,Note with Type=Arrangement,Publish (true/false) Arrangement,Label Arrangement,Note with Type=Biographical / Historical,Publish (true/false) Biographical History,Label Biographical History,Note with Type=Custodial History,Publish (true/false)Custodial History,Label Custodial History,Note with Type=Dimensions,Publish (true/false) Dimensions,Label Dimensions,Note with Type=General,Publish (true/false) General,physical details,Note with Type=Physical Description,Publish (true/false) Physical Description,Label Physical Description,Note with Type=Physical Facet,Publish (true/false) Physical Facet,Label Physical Facet,Note with Type=Physical Location,Publish (true/false)Physical Location,Label Physical Location,Note with Type=Preferred Citation,Publish (true/false)Preferred Citation,Label Preferred Citation,Note with Type=Processing Information,Publish (true/false)Process Info?,Label Processing Information,Note with Type=Related Materials,Publish (true/false) Related Materials?,Label Related Materials,Note with Type=Scope and Contents,Publish (true/false) Scope and contents?,Label Scope and Contents,Note with Type=Separated Materials,Publish (true/false) Separated Materials,Label Separated Materials,Note with Type=Conditions Governing Use,Publish (true/false) Conditions Governing Use,Label Use Restrictions,
ArchivesSpace field code (please don't edit this row),collection_id,ead,res_uri,ref_id,title,unit_id,hierarchy,level,other_level,publish,restrictions_flag,processing_note,l_lang,l_langscript,n_langmaterial,p_langmaterial,l_lang_2,l_langscript_2,n_langmaterial_2,p_langmaterial_2,l_lang_3,l_langscript_3,n_langmaterial_3,p_langmaterial_3,l_lang_4,l_langscript_4,n_langmaterial_4,p_langmaterial_4,dates_label,begin,end,date_type,expression,date_certainty,dates_label_2,begin_2,end_2,date_type_2,expression_2,date_certainty_2,dates_label_3,begin_3,end_3,date_type_3,expression_3,date_certainty_3,dates_label_4,begin_4,end_4,date_type_4,expression_4,date_certainty_4,dates_label_5,begin_5,end_5,date_type_5,expression_5,date_certainty_5,portion,number,extent_type,container_summary,physical_details,dimensions,portion_2,number_2,extent_type_2,container_summary_2,physical_details_2,dimensions_2,cont_instance_type,type_1,indicator_1,barcode,type_2,indicator_2,type_3,indicator_3,cont_instance_type_2,type_1_2,indicator_1_2,barcode_2,type_2_2,indicator_2_2,type_3_2,indicator_3_2,digital_object_id,digital_object_title,digital_object_publish,digital_object_link,digital_object_link_publish,thumbnail,thumbnail_publish,people_agent_record_id_1,people_agent_header_1,people_agent_role_1,people_agent_relator_1,people_agent_record_id_2,people_agent_header_2,people_agent_role_2,people_agent_relator_2,people_agent_record_id_3,people_agent_header_3,people_agent_role_3,people_agent_relator_3,people_agent_record_id_4,people_agent_header_4,people_agent_role_4,people_agent_relator_4,people_agent_record_id_5,people_agent_header_5,people_agent_role_5,people_agent_relator_5,families_agent_record_id_1,families_agent_header_1,families_agent_role_1,families_agent_relator_1,families_agent_record_id_2,families_agent_header_2,families_agent_role_2,families_agent_relator_2,corporate_entities_agent_record_id_1,corporate_entities_agent_header_1,corporate_entities_agent_role_1,corporate_entities_agent_relator_1,corporate_entities_agent_record_id_2,corporate_entities_agent_header_2,corporate_entities_agent_role_2,corporate_entities_agent_relator_2,corporate_entities_agent_record_id_3,corporate_entities_agent_header_3,corporate_entities_agent_role_3,corporate_entities_agent_relator_3,subject_1_record_id,subject_1_term,subject_1_type,subject_1_source,subject_2_record_id,subject_2_term,subject_2_type,subject_2_source,subject_3_record_id,subject_3_term,subject_3_type,subject_3_source,subject_4_record_id,subject_4_term,subject_4_type,subject_4_source,subject_5_record_id,subject_5_term,subject_5_type,subject_5_source,subject_6_record_id,subject_6_term,subject_6_type,subject_6_source,n_abstract,p_abstract,l_abstract,n_accessrestrict,p_accessrestrict,l_accessrestrict,b_accessrestrict,e_accessrestrict,t_accessrestrict,n_acqinfo,p_acqinfo,l_acqinfo,n_arrangement,p_arrangement,l_arrangement,n_bioghist,p_bioghist,l_bioghist,n_custodhist,p_custodhist,l_custodhist,n_dimensions,p_dimensions,l_dimensions,n_odd,p_odd,l_odd,n_physdesc,p_physdesc,l_physdesc,n_physfacet,p_physfacet,l_physfacet,n_physloc,p_physloc,l_physloc,n_prefercite,p_prefercite,l_prefercite,n_processinfo,p_processinfo,l_processinfo,n_relatedmaterial,p_relatedmaterial,l_relatedmaterial,n_scopecontent,p_scopecontent,l_scopecontent,n_separatedmaterial,p_separatedmaterial,l_separatedmaterial,n_userestrict,p_userestrict,l_userestrict,
Field name ,Resource Identifier,EAD ID,Resource URI,Ref ID ,Title,Component Unique Identifier,Hierarchical Relationship,Description Level,Other Level,Publish?,Restrictions Apply?,Processing Note,Language,Script,Language Note,Publish?,Language(2),Script(2),Language Note(2),Publish?,Language(3),Script (3),Language Note (3),Publish?,Language(4),Script (4),Language Note (4),Publish?,Date(1) Label,Date(1) Begin,Date(1) end,Date(1) Type,Date(1) expression,Date(1) Certainty,Date(2) Label,Date(2) Begin,Date(2) end,Date(2) Type,Date(2) expression,Date(2) Certainty,Date(3) Label,Date(3) Begin,Date(3) end,Date(3) Type,Date(3) expression,Date(3) Certainty,Date(4) Label,Date(4) Begin,Date(4) end,Date(4) Type,Date(4) expression,Date(4) Certainty,Date(5) Label,Date(5) Begin,Date(5) end,Date(5) Type,Date(5) expression,Date(5) Certainty,Extent portion,Extent number,"Extent type: cubic feet, cds, etc.",Container Summary,Physical Details,Dimensions,Extent portion(2),Extent number(2),"Extent type(2): cubic feet, cds, etc.",Container Summary(2),Physical Details(2),Dimensions(2),Container Instance Type,Top Container type,Top Container [indicator],barcode,Child type,Child indicator,Grandchild type,Grandchild indicator,Container Instance Type(2),Top Container type(2),Top Container [indicator](2),barcode(2),Child type(2),Child indicator(2),Grandchild type(2),Grandchild indicator(2),Digital Object ID,Digital Object Title,Publish Digital Object Record,URL of Linked-out digital object,Publish,URL of thumbnail,Publish,Agent (1) Record ID,Agent(1) header string,Agent(1) Role,Agent(1) Relator,Agent(2) Record ID,Agent(2) header string,Agent(2) Role,Agent(2) Relator,Agent(3) Record ID,Agent(3) header string,Agent(3) Role,Agent(3) Relator,Agent(4) Record ID,Agent(4) header string,Agent(4) Role,Agent(4) Relator,Agent(5) Record ID,Agent(5) header string,Agent(5) Role,Agent(5) Relator,Family Agent(1) Record ID,Family Agent(1) header string,Family Agent(1) Role,Family Agent(1) Relator,Family Agent(2) Record ID,Family Agent(2) header string,Family Agent(2) Role,Family Agent(2) Relator,Corporate Agent Record ID(1),Corporate Agent header string(1),Corporate Agent Role(1),CorporateRelator(1),Corporate Agent Record ID(2),Corporate Agent header string(2),Corporate Agent Role(2),CorporateRelator(2),Corporate Agent Record ID(3),Corporate Agent header string(3),Corporate Agent Role(3),CorporateRelator(3),Subject (1) Record ID,Subject (1) Term,Subject (1) Type,Subject (1) Source,Subject (2) Record ID,Subject (2) Term,Subject (2) Type,Subject (2) Source,Subject (3) Record ID,Subject (3) Term,Subject (3) Type,Subject (3) Source,Subject (4) Record ID,Subject (4) Term,Subject (4) Type,Subject (4) Source,Subject (5) Record ID,Subject (5) Term,Subject (5) Type,Subject (5) Source,Subject (6) Record ID,Subject (6) Term,Subject (6) Type,Subject (6) Source,Abstract,Publish Abstract,Label Abstract,Access Restrictions,Publish Access Restrictions,Label Access Restrictions,Access Restrictions Begin Date,Access Restrictions End Date,Access Restrictions Type,Acquisition Information,Publish Acquisition Information?,Label Acquisition Information,Arrangement,Publish Arrangement?,Label Arrangement,Biography/History,Publish Biographical History?,Label Biographical History,Custodial History,Publish Custodial History?,Label Custodial History,Dimensions,Publish Dimensions?,Label Dimensions,General,Publish General?,Label General,Physical Description,Publish Physical Description?,Label Physical Description,Physical Facet,Publish Physical Facet?,Label Physical Facet,Physical Location,Publish Physical Location?,Label Physical Location,Preferred Citation,Publish Preferred Citation?,Label Preferred Citation,Processing Information,Publish Process Info?,Label Processing Information,Related Materials,Publish Related materials?,Label Related Materials,Scope and Contents,Publish Scope and contents?,Label Scope and Contents,Separated Materials,Publish Separated Materials?,Label Separated Materials,Use Restrictions,Publish Use Restrictions?,Label Use Restrictions,
,,mt839rq8746,,Trialbriefs,Trial briefs,,1,Series,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,item(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mt839rq8746,,Folders,Folders,,2,Sub-Series,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,item(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mt839rq8746,,fd927hs6195,"U.S. Trial Brief A: Common Objectives, Methods and Doctrines of the Conspiracy.",H-1097,3,Item,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,item(s),21 pages,Folders,,,,,,,,text,box,9,,,,,,,,,,,,,,,,,https://purl.stanford.edu/fd927hs6195,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85043413,English language,function,lcsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PRELIMINARY NOTES TO DOCUMENTS BOOKS AND TRIAL BRIEFS: For purpose of this inventory, Document Books and Trial briefs have been identified merely by the name and number or letter. No attempt has been made to catalog the documents contained therein or to count the pages.",1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
,,mt839rq8746,,pb640jq2222,U.S. Trial Brief B: The acquiring of Totalitarian Control over Germany: Political; First Steps; Control acquired.,H-1099,3,Item,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,item(s),30 pages,Folders,,,,,,,,text,box,9,,,,,,,,,,,,,,,,,https://purl.stanford.edu/pb640jq2222,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85043413,English language,function,lcsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PRELIMINARY NOTES TO DOCUMENTS BOOKS AND TRIAL BRIEFS: For purpose of this inventory, Document Books and Trial briefs have been identified merely by the name and number or letter. No attempt has been made to catalog the documents contained therein or to count the pages.",1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
,,mt839rq8746,,sx136xn2886,U.S. Trial Brief C: Consolidation of Control; Utilization and molding of Political Machinery.,H-1101,3,Item,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,item(s),32 pages,Folders,,,,,,,,text,box,9,,,,,,,,,,,,,,,,,https://purl.stanford.edu/sx136xn2886,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85043413,English language,function,lcsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PRELIMINARY NOTES TO DOCUMENTS BOOKS AND TRIAL BRIEFS: For purpose of this inventory, Document Books and Trial briefs have been identified merely by the name and number or letter. No attempt has been made to catalog the documents contained therein or to count the pages.",1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
,,mt839rq8746,,qb748bh0169,U.S. Trial Brief D: Reshaping of Education; Training of Youth,H-1103,3,Item,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,item(s),27 pages,Folders,,,,,,,,text,box,9,,,,,,,,,,,,,,,,,https://purl.stanford.edu/qb748bh0169,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85043413,English language,function,lcsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PRELIMINARY NOTES TO DOCUMENTS BOOKS AND TRIAL BRIEFS: For purpose of this inventory, Document Books and Trial briefs have been identified merely by the name and number or letter. No attempt has been made to catalog the documents contained therein or to count the pages.",1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
,,mt839rq8746,,yb735mq4711,"U.S. Trial Brief E: Propaganda, Censorship and Supervision of Cultural Activities",H-1105,3,Item,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,item(s),21 pages,Folders,,,,,,,,text,box,9,,,,,,,,,,,,,,,,,https://purl.stanford.edu/yb735mq4711,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85043413,English language,function,lcsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PRELIMINARY NOTES TO DOCUMENTS BOOKS AND TRIAL BRIEFS: For purpose of this inventory, Document Books and Trial briefs have been identified merely by the name and number or letter. No attempt has been made to catalog the documents contained therein or to count the pages.",1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
